Negative type,Psamples,Nsamples,AUC-back,ACC-back,std-back,stdACC-back
pure_model,7000.0,2000,0.8211934304237366,0.7087599968910218,0.025140139906468007,0.03659757594249775
pure_model,7000.0,3000,0.8540412116050721,0.755120005607605,0.009728579796387672,0.017727537007881447
pure_model,7000.0,1000,0.7728451275825501,0.6555599999427796,0.02333071882571949,0.02746791265005782
pure_model,7000.0,6000,0.8853974294662476,0.7958799982070923,0.011763158976061635,0.030201077726453314
pure_model,7000.0,4000,0.8662339973449708,0.7714800024032593,0.011919596561791151,0.019337264379747823
pure_model,7000.0,5000,0.8755948710441589,0.7803599905967712,0.01247208134518713,0.03083488269069632
pure_model,7000.0,9000,0.8950964736938477,0.8116400027275086,0.009973256732636776,0.020079600522453295
pure_model,7000.0,8000,0.8903006434440612,0.804760000705719,0.011125084614662335,0.030433242289160358
pure_model,7000.0,7000,0.8884616875648499,0.7996000027656556,0.00893322041919656,0.017440191022727227
pure_model,7000.0,15000,0.900663685798645,0.8214799952507019,0.009496443536893167,0.012080132382542727
pure_model,7000.0,35000,0.9003523373603821,0.7942000031471252,0.008021129941638078,0.024252009924744244
pure_model,7000.0,10000,0.8983231997489929,0.8202800059318542,0.008375457370997761,0.013328226363722709
pure_model,7000.0,700000,0.4855508875846863,0.4887999987602234,0.044878629722844766,0.02908470243534387
pure_model,7000.0,50000,0.9008990335464477,0.7735599970817566,0.0108112869871274,0.02394339860065119
pure_model,7000.0,100000,0.89407799243927,0.7208399987220764,0.00781934521827754,0.02538768198061521
pure_model,7000.0,200000,0.8620785737037658,0.6108399939537048,0.01576074792811106,0.03154131313176727
pure_model,7000.0,400000,0.5112018394470215,0.5040000033378601,0.04279297889510142,0.021012381025590825
pure_model,7000.0,500000,0.48958151817321777,0.49491999864578246,0.056920161913017076,0.036773818345557915